,model,loss_func,dev_split,iou,f1,dice,focal,BCE
0,baseline,BCE,20,0.7570786997675896,0.8616145054499308,0.1492945179343223,0.2997202767680089,0.3761908536156018
1,baseline,BCE,50,0.823858047525088,0.9031881392002106,0.1122724364201227,0.1921232398599386,0.2577547567586104
2,baseline,BCE,80,0.9055998399853706,0.9504215369621912,0.0599240412314732,0.1085743542450169,0.144459281116724
3,cifar,BCE,20,0.7533838550249735,0.8591687281926473,0.1511359165112177,0.3094554158548514,0.3861240421732266
4,cifar,BCE,50,0.8501861269275347,0.9189079999923706,0.091271477440993,0.2183734457939863,0.2655523388336102
5,cifar,BCE,80,0.9031954805056254,0.9490393002827964,0.0637341141700744,0.1051720891458292,0.1444370398918787
6,pet,BCE,20,0.7583221793174744,0.8624714290102323,0.1485794881979624,0.2914875193188588,0.3685034376879533
7,pet,BCE,50,0.8418840045730273,0.9140496899684272,0.0995786736408869,0.1819723326091965,0.2382700691620508
8,pet,BCE,80,0.9020165428519248,0.9483750959237416,0.0634914437929789,0.1318351306642095,0.1691214016949137
